"rgn_id","dimension","score"
1,"score",NA
2,"score",20
3,"score",27
4,"score",NA
5,"score",20
6,"score",20
7,"score",NA
8,"score",NA
9,"score",70
10,"score",70
11,"score",NA
12,"score",76
13,"score",76
14,"score",84
15,"score",NA
16,"score",84
17,"score",NA
18,"score",NA
19,"score",NA
20,"score",NA
21,"score",NA
22,"score",NA
23,"score",100
24,"score",100
25,"score",NA
26,"score",20
27,"score",50
28,"score",50
29,"score",100
30,"score",100
31,"score",NA
32,"score",60
33,"score",NA
34,"score",NA
35,"score",95
36,"score",95
37,"score",80
38,"score",80
39,"score",67
40,"score",67
41,"score",80
42,"score",80
