rgn_id,score,dimension
19,25.7,status
18,39.1,status
16,39.1,status
17,39.1,status
21,39.1,status
3,14.8,status
12,14.8,status
13,14.8,status
7,14.8,status
8,14.8,status
2,14.8,status
6,14.8,status
5,14.8,status
14,15.5,status
20,15.5,status
26,15.5,status
1,15.5,status
25,50.9,status
28,50.9,status
24,50.9,status
27,50.9,status
23,29.1,status
38,9.2,status
40,9.2,status
36,9.2,status
30,9.2,status
42,9.2,status
32,9.2,status
10,36,status
4,36,status
9,36,status
31,50.9,status
22,29.1,status
41,15.5,status
29,15.5,status
34,25.7,status
33,25.7,status
15,14.8,status
37,15.5,status
39,15.5,status
35,15.5,status
11,15.5,status
NA,15.9,status
