basin_loading;basin_abb;data_type;substance;unit;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013
Archipelago Sea;ARC;;PCB 153;kg/year;1.6;1.7;1.7;1.6;1.5;1.5;1.4;1.2;1.2;1.3;1.2;1.0;0.8;0.7;0.7;0.7;0.7;0.6;0.5;0.5;0.5;0.5;0.5;0.4
Bothnian Bay;BOB;;PCB 154;kg/year;3.0;3.1;3.2;3.0;2.9;3.0;2.6;2.4;2.3;2.4;2.2;1.9;1.7;1.7;1.4;1.5;1.4;1.2;1.1;1.1;1.1;1.1;1.0;1.0
Bothnian Sea;BOS;;PCB 155;kg/year;3.6;3.9;4.0;3.8;3.6;3.7;3.2;3.1;3.0;3.1;2.8;2.5;2.1;2.0;1.8;1.8;1.8;1.5;1.4;1.3;1.2;1.3;1.2;1.2
Baltic Proper;BAP;;PCB 156;kg/year;21.1;19.8;20.1;19.0;18.8;18.1;15.6;15.9;15.7;15.7;14.4;12.4;10.7;9.6;8.8;8.1;8.7;7.5;7.2;6.5;6.2;6.7;6.4;5.8
Gulf of Finland;GUF;;PCB 157;kg/year;5.7;5.8;5.8;5.4;5.4;5.4;5.0;4.5;4.5;4.5;4.1;3.8;3.1;3.0;2.9;2.8;2.8;2.5;2.4;2.2;2.3;2.2;2.1;2.0
Gulf of Riga;GUR;;PCB 158;kg/year;3.9;4.1;4.1;3.8;3.7;3.8;3.3;3.2;3.2;3.3;3.0;2.7;2.2;2.1;2.0;1.9;1.9;1.8;1.7;1.5;1.6;1.5;1.5;1.3
Kattegat;KAT;;PCB 159;kg/year;3.3;3.1;3.1;3.0;3.0;3.0;2.5;2.6;2.4;2.5;2.4;1.9;1.6;1.5;1.3;1.2;1.3;1.0;1.0;1.0;0.9;1.0;0.9;0.8
The Sound;SOU;;PCB 160;kg/year;1.4;1.3;1.3;1.2;1.2;1.1;1.0;1.0;1.0;1.0;0.9;0.7;0.6;0.5;0.5;0.4;0.5;0.4;0.4;0.4;0.3;0.4;0.4;0.3
Western Baltic;WEB;;PCB 161;kg/year;7.1;6.6;7.0;6.5;6.8;6.2;5.4;5.6;5.6;5.4;5.2;4.2;3.7;3.2;2.9;2.7;3.0;2.4;2.4;2.2;1.9;2.1;2.1;1.9
