goal,component,spp_status,WFD,HD,MSFD,HELCOM,BSAP,REACH,POP,CBD,CITES,CFP,COP21,MSPD,BWD,BIRDS,ND,UWWTD,NEC,IED,wgi_all
FIS,,,WFD,HD,MSFD,HELCOM,BSAP,,,,,CFP,,MSPD,,BIRDS,,,,,
MAR,,,,,MSFD,,BSAP,REACH,,,,CFP,,MSPD,,,,,,,
CS,,,WFD,,MSFD,,BSAP,,,,,,,MSPD,,,ND,UWWTD,,IED,
TR,,,WFD,,MSFD,,,REACH,,,,CFP,,MSPD,BWD,BIRDS,,,,,
ECO,,,WFD,,MSFD,,BSAP,REACH,,,,,,MSPD,,BIRDS,,,NEC,,
LIV,,,WFD,,MSFD,,BSAP,REACH,,,,,,MSPD,,,,,,,
ICO,,,WFD,HD,MSFD,,BSAP,,,CBD,CITES,CFP,,MSPD,,BIRDS,,,,,
LSP,,,WFD,HD,MSFD,,BSAP,,,,,CFP,,MSPD,,BIRDS,,,,,
NUT,,,WFD,,MSFD,HELCOM,BSAP,REACH,,,,,,,BWD,,ND,UWWTD,NEC,IED,
CON,,,WFD,,MSFD,HELCOM,BSAP,REACH,POP,,,,,,BWD,BIRDS,,UWWTD,NEC,IED,
TRA,,,,,MSFD,HELCOM,BSAP,REACH,,,,,,,BWD,,,,,IED,
SPP,,,WFD,HD,MSFD,HELCOM,BSAP,REACH,,CBD,CITES,CFP,,MSPD,,BIRDS,ND,UWWTD,,,
AO,,,WFD,,MSFD,,BSAP,,,,,CFP,,,,,,,,,
