"year","value","ices","unit","data_descrip","bhi_goal"
1974,1.265384615,"spr_2232",NA,"F/Fmsy","NP"
1975,1.330769231,"spr_2232",NA,"F/Fmsy","NP"
1976,1.238461538,"spr_2232",NA,"F/Fmsy","NP"
1977,1.069230769,"spr_2232",NA,"F/Fmsy","NP"
1978,1.05,"spr_2232",NA,"F/Fmsy","NP"
1979,0.753846154,"spr_2232",NA,"F/Fmsy","NP"
1980,0.811538462,"spr_2232",NA,"F/Fmsy","NP"
1981,0.492307692,"spr_2232",NA,"F/Fmsy","NP"
1982,0.869230769,"spr_2232",NA,"F/Fmsy","NP"
1983,0.419230769,"spr_2232",NA,"F/Fmsy","NP"
1984,0.603846154,"spr_2232",NA,"F/Fmsy","NP"
1985,0.596153846,"spr_2232",NA,"F/Fmsy","NP"
1986,0.780769231,"spr_2232",NA,"F/Fmsy","NP"
1987,1.003846154,"spr_2232",NA,"F/Fmsy","NP"
1988,0.884615385,"spr_2232",NA,"F/Fmsy","NP"
1989,0.792307692,"spr_2232",NA,"F/Fmsy","NP"
1990,0.511538462,"spr_2232",NA,"F/Fmsy","NP"
1991,0.661538462,"spr_2232",NA,"F/Fmsy","NP"
1992,0.769230769,"spr_2232",NA,"F/Fmsy","NP"
1993,0.619230769,"spr_2232",NA,"F/Fmsy","NP"
1994,0.992307692,"spr_2232",NA,"F/Fmsy","NP"
1995,1.292307692,"spr_2232",NA,"F/Fmsy","NP"
1996,1.092307692,"spr_2232",NA,"F/Fmsy","NP"
1997,1.511538462,"spr_2232",NA,"F/Fmsy","NP"
1998,1.484615385,"spr_2232",NA,"F/Fmsy","NP"
1999,1.434615385,"spr_2232",NA,"F/Fmsy","NP"
2000,1.2,"spr_2232",NA,"F/Fmsy","NP"
2001,1.107692308,"spr_2232",NA,"F/Fmsy","NP"
2002,1.45,"spr_2232",NA,"F/Fmsy","NP"
2003,1.565384615,"spr_2232",NA,"F/Fmsy","NP"
2004,1.876923077,"spr_2232",NA,"F/Fmsy","NP"
2005,1.730769231,"spr_2232",NA,"F/Fmsy","NP"
2006,1.430769231,"spr_2232",NA,"F/Fmsy","NP"
2007,1.334615385,"spr_2232",NA,"F/Fmsy","NP"
2008,1.4,"spr_2232",NA,"F/Fmsy","NP"
2009,1.680769231,"spr_2232",NA,"F/Fmsy","NP"
2010,1.296153846,"spr_2232",NA,"F/Fmsy","NP"
2011,1.157692308,"spr_2232",NA,"F/Fmsy","NP"
2012,1.111538462,"spr_2232",NA,"F/Fmsy","NP"
2013,1.442307692,"spr_2232",NA,"F/Fmsy","NP"
2014,1.565384615,"spr_2232",NA,"F/Fmsy","NP"
